French,English
partie,part
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
car,because
mettre,to put
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
type,type
leurs,their
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
